iter	Passed	Remaining
0	0	85
1	2	111
2	3	106
3	4	99
4	4	93
5	5	90
6	6	86
7	7	87
8	8	85
9	9	82
10	9	79
11	10	77
12	11	75
13	11	73
14	12	71
15	13	70
16	14	69
17	14	68
18	15	67
19	16	67
20	17	67
21	18	67
22	19	66
23	20	65
24	21	63
25	21	62
26	22	61
27	23	60
28	24	59
29	24	58
30	25	57
31	26	56
32	27	56
33	28	55
34	29	54
35	30	53
36	31	53
37	32	52
38	33	52
39	34	51
40	35	51
41	35	49
42	36	48
43	37	47
44	38	47
45	39	46
46	40	45
47	41	45
48	42	44
49	43	43
50	44	42
51	45	41
52	46	41
53	48	40
54	48	39
55	49	39
56	50	38
57	51	37
58	52	36
59	53	35
60	54	34
61	55	34
62	56	33
63	57	32
64	58	31
65	59	30
66	60	29
67	61	29
68	62	28
69	64	27
70	65	26
71	65	25
72	66	24
73	67	23
74	68	22
75	69	22
76	71	21
77	72	20
78	73	19
79	74	18
80	75	17
81	76	16
82	77	15
83	78	14
84	79	14
85	80	13
86	81	12
87	82	11
88	83	10
89	83	9
90	84	8
91	85	7
92	86	6
93	87	5
94	88	4
95	89	3
96	90	2
97	91	1
98	92	0
99	93	0
