iter	Passed	Remaining
0	116	116639
1	118	59379
2	120	40143
3	122	30502
4	124	24766
5	127	21084
6	129	18386
7	131	16287
8	133	14654
9	134	13352
10	136	12279
11	138	11404
12	140	10657
13	142	10069
14	145	9567
15	147	9079
16	150	8676
17	152	8299
18	154	7954
19	157	7710
20	159	7431
21	161	7166
22	162	6909
23	164	6676
24	165	6453
25	167	6259
26	168	6076
27	170	5904
28	171	5746
29	173	5619
30	175	5473
31	176	5332
32	177	5200
33	178	5072
34	179	4952
35	180	4841
36	181	4734
37	183	4633
38	184	4536
39	185	4447
40	186	4360
41	187	4283
42	188	4205
43	190	4128
44	190	4052
45	191	3979
46	192	3908
47	193	3841
48	194	3777
49	195	3715
50	196	3653
51	197	3593
52	197	3535
53	198	3479
54	199	3427
55	200	3377
56	201	3329
57	202	3282
58	203	3239
59	204	3199
60	205	3156
61	205	3113
62	206	3071
63	207	3031
64	207	2991
65	208	2954
66	209	2918
67	210	2881
68	210	2845
69	211	2811
70	212	2778
71	213	2746
72	213	2714
73	214	2684
74	215	2656
75	216	2629
76	217	2610
77	218	2585
78	219	2559
79	220	2532
80	220	2506
81	221	2481
82	222	2453
83	222	2428
84	223	2406
85	224	2383
86	224	2360
87	225	2338
88	226	2317
89	227	2295
90	227	2274
91	228	2256
92	229	2235
93	229	2215
94	230	2196
95	231	2179
96	232	2162
97	233	2145
98	233	2127
99	234	2109
100	235	2091
101	235	2074
102	236	2057
103	236	2041
104	237	2024
105	238	2008
106	238	1992
107	239	1977
108	240	1962
109	240	1948
110	241	1934
111	242	1920
112	243	1908
113	244	1896
114	244	1883
115	245	1870
116	245	1856
117	246	1845
118	247	1835
119	248	1824
120	249	1814
121	250	1801
122	251	1789
123	251	1778
124	252	1767
125	253	1755
126	253	1743
127	254	1732
128	254	1721
129	255	1710
130	256	1699
131	256	1689
132	257	1679
133	258	1668
134	258	1658
135	259	1648
136	260	1638
137	260	1629
138	261	1621
139	262	1614
140	263	1606
141	264	1596
142	264	1587
143	265	1579
144	266	1570
145	267	1561
146	267	1553
147	268	1544
148	269	1536
149	269	1528
150	270	1520
151	271	1512
152	271	1504
153	272	1497
154	273	1489
155	273	1481
156	274	1473
157	275	1466
158	275	1459
159	276	1453
160	277	1446
161	278	1440
162	279	1434
163	280	1428
164	280	1421
165	281	1416
166	282	1409
167	283	1402
168	283	1396
169	284	1390
170	285	1383
171	286	1377
172	286	1371
173	287	1365
174	288	1359
175	289	1353
176	289	1347
177	290	1342
178	291	1338
179	292	1334
180	294	1331
181	295	1326
182	295	1320
183	296	1314
184	297	1309
185	297	1303
186	298	1298
187	299	1292
188	299	1286
189	300	1281
190	301	1276
191	301	1270
192	302	1265
193	303	1260
194	304	1255
195	304	1250
196	305	1244
197	306	1241
198	307	1238
199	308	1233
200	309	1229
201	309	1224
202	310	1218
203	311	1213
204	311	1208
205	312	1203
206	312	1198
207	313	1193
208	314	1188
209	314	1183
210	315	1179
211	316	1174
212	316	1170
213	317	1166
214	318	1161
215	318	1157
216	319	1152
217	320	1147
218	320	1144
219	322	1143
220	323	1139
221	324	1135
222	324	1131
223	325	1127
224	326	1122
225	326	1118
226	327	1114
227	327	1110
228	328	1105
229	329	1101
230	329	1097
231	330	1093
232	331	1089
233	331	1085
234	332	1082
235	333	1078
236	333	1074
237	334	1070
238	335	1066
239	335	1063
240	337	1062
241	338	1058
242	338	1055
243	339	1052
244	340	1048
245	341	1045
246	341	1041
247	342	1037
248	342	1034
249	343	1030
250	344	1027
251	344	1023
252	345	1020
253	346	1016
254	346	1013
255	347	1009
256	348	1006
257	348	1002
258	349	999
259	350	996
260	351	994
261	352	991
262	353	990
263	354	988
264	355	985
265	355	981
266	356	978
267	357	975
268	357	972
269	358	969
270	359	966
271	359	963
272	360	960
273	361	957
274	361	954
275	362	951
276	363	948
277	363	944
278	364	941
279	365	938
280	366	936
281	367	934
282	367	931
283	368	929
284	369	926
285	369	923
286	370	920
287	371	917
288	371	914
289	372	912
290	373	910
291	374	907
292	374	904
293	375	902
294	376	899
295	377	896
296	377	894
297	378	891
298	379	889
299	379	886
300	380	884
301	382	882
302	382	880
303	384	879
304	384	877
305	385	874
306	386	872
307	387	870
308	388	868
309	388	865
310	389	863
311	390	861
312	391	858
313	392	856
314	393	854
315	393	852
316	394	850
